Claim_ID,Customer_Age,Gender,Policy_Type,Claim_Amount,Premium_Amount,Claim_History_Count,Previous_Fraud_Flag,Days_To_Report,Claim_Type,Risk_Label
CLM10051,70,Male,Vehicle,25639.77,1107.39,0,0,12,Accident,Low Risk
CLM10052,49,Female,Life,170902.62,2349.52,1,0,49,Theft,Low Risk
CLM10053,64,Male,Property,79543.49,5794.59,4,0,49,Theft,High Risk
CLM10054,68,Male,Vehicle,11099.41,1037.9,0,0,50,Accident,Low Risk
CLM10055,86,Female,Vehicle,15285.92,958.49,0,0,56,Medical,Low Risk
CLM10056,33,Female,Life,131846.04,5878.91,1,0,49,Natural Disaster,Low Risk
CLM10057,38,Female,Health,27186.75,1600.6,0,0,304,Natural Disaster,Low Risk
CLM10058,73,Female,Property,92482.88,1643.96,3,0,51,Natural Disaster,High Risk
CLM10059,45,Male,Vehicle,14413.51,1228.44,0,0,46,Natural Disaster,Low Risk
CLM10060,35,Female,Vehicle,16445.9,731.04,0,1,56,Theft,High Risk
CLM10061,34,Male,Life,263286.47,11406.87,1,0,21,Medical,Low Risk
CLM10062,57,Male,Life,107411.14,4062.61,1,0,55,Theft,Low Risk
CLM10063,39,Male,Vehicle,11595.35,1065.35,0,0,23,Natural Disaster,Low Risk
CLM10064,20,Male,Property,43987.7,4473.82,0,0,150,Accident,High Risk
CLM10065,79,Male,Vehicle,17146.12,1265.54,2,0,53,Medical,Low Risk
CLM10066,37,Male,Life,101676.57,6819.94,1,0,35,Natural Disaster,Low Risk
CLM10067,27,Male,Property,57147.59,1982.86,0,0,8,Natural Disaster,Low Risk
CLM10068,32,Female,Vehicle,12943.39,1007.64,3,0,13,Natural Disaster,Low Risk
CLM10069,39,Female,Life,401681.52,34348.19,2,0,36,Natural Disaster,Low Risk
CLM10070,43,Female,Life,192288.46,12477.29,1,0,31,Theft,Low Risk
CLM10071,42,Male,Health,20182.62,1294.56,0,0,5,Natural Disaster,Low Risk
CLM10072,68,Female,Vehicle,5038.89,758.51,1,0,35,Accident,Low Risk
CLM10073,72,Male,Vehicle,6931.79,812.39,2,0,12,Medical,Low Risk
CLM10074,69,Female,Property,80743.06,2088.56,2,0,30,Medical,Low Risk
CLM10075,86,Female,Property,96112.11,4114.93,1,0,42,Accident,High Risk
CLM10076,79,Female,Health,13544.76,1357.76,0,0,4,Medical,Low Risk
CLM10077,48,Female,Health,21782.4,2135.31,4,1,20,Medical,High Risk
CLM10078,71,Male,Health,17275.17,847.93,1,0,52,Medical,Low Risk
CLM10079,52,Male,Life,291828.02,27316.39,0,0,16,Natural Disaster,Low Risk
CLM10080,68,Female,Life,309934.38,7829.74,0,0,42,Medical,Low Risk
CLM10081,66,Female,Vehicle,25958.33,1683.42,0,0,29,Natural Disaster,Low Risk
CLM10082,73,Male,Vehicle,6949.05,303.37,1,0,17,Natural Disaster,Low Risk
CLM10083,55,Male,Property,14783.24,722.9,2,0,18,Medical,Low Risk
CLM10084,72,Female,Life,372187.5,25904.61,0,0,58,Medical,Low Risk
CLM10085,84,Male,Health,28279.36,2539.49,5,0,15,Accident,Low Risk
CLM10086,71,Male,Vehicle,9501.28,966.68,0,0,18,Natural Disaster,Low Risk
CLM10087,19,Male,Property,64352.32,3018.8,0,1,19,Theft,High Risk
CLM10088,26,Female,Health,15428.82,1876.75,0,0,55,Natural Disaster,Low Risk
CLM10089,31,Male,Life,364480.63,17036.97,1,0,25,Accident,Low Risk
CLM10090,54,Male,Vehicle,27514.67,897.34,0,0,24,Medical,Low Risk
CLM10091,29,Male,Health,25219.42,1988.67,1,0,267,Natural Disaster,Low Risk
CLM10092,70,Female,Property,28308.17,1490.38,0,0,38,Theft,Low Risk
CLM10093,39,Male,Life,146723.17,2083.91,1,0,58,Theft,Low Risk
CLM10094,43,Female,Health,17874.8,1009.4,2,0,24,Natural Disaster,Low Risk
CLM10095,76,Male,Health,7704.11,1014.31,0,0,23,Natural Disaster,Low Risk
CLM10096,38,Male,Property,73789.82,5462.04,4,0,40,Natural Disaster,High Risk
CLM10097,34,Male,Vehicle,17470.41,1727.74,2,0,47,Natural Disaster,Low Risk
CLM10098,56,Male,Vehicle,16150.6,1458.46,0,0,244,Medical,Low Risk
CLM10099,56,Male,Life,292771.08,23990.29,1,0,41,Theft,Low Risk
CLM10100,72,Male,Vehicle,29719.9,472.02,0,0,58,Medical,Low Risk
CLM10101,33,Female,Life,492837.56,39272.54,1,0,200,Medical,Low Risk
CLM10102,47,Female,Life,371998.99,23654.2,4,1,14,Medical,High Risk
CLM10103,87,Male,Life,447889.54,29158.61,5,1,7,Natural Disaster,High Risk
CLM10104,71,Male,Property,53705.41,1822.6,0,0,2,Accident,Low Risk
CLM10105,79,Male,Life,453846.27,23814.96,2,1,3,Theft,High Risk
CLM10106,28,Male,Life,169520.02,4126.68,5,0,39,Natural Disaster,High Risk
CLM10107,55,Female,Property,73724.91,4159.92,0,0,4,Theft,Low Risk
CLM10108,57,Male,Life,282235.56,26177.42,2,0,12,Theft,Low Risk
CLM10109,76,Male,Life,368763.34,31846.01,2,0,37,Accident,High Risk
CLM10110,62,Female,Health,2433.12,356.72,0,0,317,Theft,Low Risk
CLM10111,83,Female,Health,31229.42,3422.79,0,0,23,Medical,Low Risk
CLM10112,87,Male,Vehicle,1534.4,511.08,0,0,36,Medical,Low Risk
CLM10113,85,Male,Life,368677.44,6254.4,0,0,58,Theft,Low Risk
CLM10114,81,Male,Health,22851.96,1898.13,0,0,32,Natural Disaster,Low Risk
CLM10115,43,Female,Vehicle,14587.64,1526.52,3,0,28,Medical,Low Risk
CLM10116,49,Female,Property,69647.43,5008.43,5,0,20,Accident,Low Risk
CLM10117,74,Male,Property,34635.44,1735.94,2,0,48,Medical,Low Risk
CLM10118,35,Male,Life,262944.46,25715.95,3,0,14,Theft,High Risk
CLM10119,81,Female,Health,45679.97,4608.61,1,1,6,Medical,High Risk
CLM10120,26,Female,Life,271217.55,4612.28,0,0,10,Accident,Low Risk
CLM10121,55,Female,Property,71023.28,6620.16,0,0,23,Medical,Low Risk
CLM10122,63,Female,Property,52394.37,3819.84,1,1,313,Accident,High Risk
CLM10123,83,Female,Property,24081.61,2171.78,0,0,39,Natural Disaster,Low Risk
CLM10124,23,Male,Vehicle,18881.53,1449.95,4,0,19,Natural Disaster,High Risk
CLM10125,21,Female,Vehicle,23731.14,1380.73,0,0,133,Medical,Low Risk
CLM10126,30,Male,Health,31171.36,1522.82,2,0,52,Natural Disaster,Low Risk
CLM10127,73,Male,Property,66780.94,2239.21,0,1,32,Accident,High Risk
CLM10128,48,Female,Health,42466.02,3221.9,2,0,49,Medical,Low Risk
CLM10129,83,Male,Vehicle,23995.73,2151.38,0,0,2,Medical,Low Risk
CLM10130,38,Male,Health,7446.82,1017.84,0,0,13,Accident,Low Risk
CLM10131,79,Female,Life,232259.36,15048.34,2,0,16,Accident,High Risk
CLM10132,45,Female,Property,67389.98,3055.6,0,0,46,Theft,Low Risk
CLM10133,18,Male,Life,314547.97,30200.24,0,0,42,Accident,High Risk
CLM10134,54,Male,Health,35563.89,2230.04,1,0,19,Theft,Low Risk
CLM10135,43,Male,Health,6983.39,827.59,0,0,13,Medical,Low Risk
CLM10136,70,Female,Life,358685.48,4377.16,5,1,42,Medical,High Risk
CLM10137,62,Female,Life,472918.91,36088.3,0,0,28,Accident,Low Risk
CLM10138,64,Female,Health,42067.65,4370.37,1,0,7,Accident,Low Risk
CLM10139,36,Male,Life,422077.5,29887.88,0,0,5,Accident,Low Risk
CLM10140,58,Male,Life,388592.49,7265.84,0,0,37,Theft,High Risk
CLM10141,30,Male,Property,46380.41,4025.72,1,1,14,Theft,High Risk
CLM10142,88,Male,Health,19640.57,1504.56,1,0,176,Theft,Low Risk
CLM10143,20,Male,Vehicle,28592.88,2931.69,3,0,4,Accident,High Risk
CLM10144,61,Female,Property,42464.71,2923.16,2,0,20,Natural Disaster,Low Risk
CLM10145,68,Male,Life,470496.21,19734.87,1,0,51,Accident,Low Risk
CLM10146,45,Male,Life,190088.46,12728.91,0,0,24,Natural Disaster,Low Risk
CLM10147,30,Male,Property,33051.44,2864.7,4,1,53,Medical,High Risk
CLM10148,62,Female,Property,95383.32,6546.04,3,0,8,Medical,High Risk
CLM10149,89,Female,Life,300486.68,10139.3,2,0,38,Theft,High Risk
CLM10150,36,Female,Vehicle,14101.26,1052.69,2,0,54,Theft,Low Risk
CLM10151,88,Female,Property,27034.97,1559.27,1,0,34,Theft,Low Risk
CLM10152,84,Female,Vehicle,13927.94,1153.8,0,0,3,Theft,Low Risk
CLM10153,53,Female,Health,44815.35,1451.38,0,0,3,Medical,Low Risk
CLM10154,19,Female,Health,4426.65,507.77,1,0,43,Natural Disaster,Low Risk
CLM10155,52,Female,Property,49194.53,1083.14,5,0,56,Theft,Low Risk
CLM10156,79,Female,Health,41268.52,637.62,5,0,22,Medical,Low Risk
CLM10157,47,Male,Life,330613.56,6360.16,0,0,37,Accident,High Risk
CLM10158,31,Female,Health,12140.51,747.1,0,0,0,Medical,Low Risk
CLM10159,72,Female,Property,79696.22,5244.91,0,0,48,Theft,Low Risk
CLM10160,62,Male,Vehicle,26461.26,2754.27,2,0,8,Natural Disaster,Low Risk
CLM10161,37,Female,Life,469728.83,29304.4,0,0,0,Theft,Low Risk
CLM10162,69,Male,Property,42872.99,1240.54,0,1,24,Accident,High Risk
CLM10163,30,Male,Vehicle,26407.05,1364.77,0,1,1,Natural Disaster,High Risk
CLM10164,48,Male,Health,39257.32,2140.39,5,0,8,Accident,Low Risk
CLM10165,33,Female,Health,25961.68,3014.04,1,0,51,Theft,Low Risk
CLM10166,67,Male,Health,44443.61,2421.39,0,0,13,Accident,Low Risk
CLM10167,38,Female,Property,18025.42,1234.76,0,0,20,Accident,Low Risk
CLM10168,62,Female,Life,217133.86,7725.05,1,0,52,Medical,Low Risk
CLM10169,69,Male,Vehicle,12379.42,1342.42,0,0,40,Medical,Low Risk
CLM10170,65,Male,Health,42202.71,1028.68,1,0,33,Theft,Low Risk
CLM10171,77,Male,Life,447106.75,9219.44,1,1,79,Accident,High Risk
CLM10172,68,Female,Property,6150.31,985.96,0,0,10,Natural Disaster,Low Risk
CLM10173,75,Male,Health,33354.83,2834.16,0,0,27,Medical,Low Risk
CLM10174,42,Male,Vehicle,20353.16,424.8,0,0,24,Theft,Low Risk
CLM10175,53,Female,Property,98097.18,6627.8,2,0,59,Theft,High Risk
CLM10176,32,Male,Life,319339.21,6174.48,1,0,49,Theft,Low Risk
CLM10177,68,Female,Health,32644.73,1592.83,3,0,40,Accident,High Risk
CLM10178,30,Female,Health,48941.47,4108.12,0,0,21,Accident,Low Risk
CLM10179,69,Male,Vehicle,7191.83,835.62,2,0,32,Natural Disaster,Low Risk
CLM10180,36,Male,Health,5594.09,797.38,1,0,215,Medical,Low Risk
CLM10181,27,Male,Life,416803.27,27612.43,0,0,154,Theft,Low Risk
CLM10182,71,Female,Health,1540.55,522.8,2,0,30,Medical,Low Risk
CLM10183,21,Female,Vehicle,26699.68,1948.68,1,0,309,Medical,Low Risk
CLM10184,74,Male,Life,231047.21,20794.15,2,0,57,Medical,Low Risk
CLM10185,47,Female,Property,30632.97,2880.27,0,0,44,Theft,Low Risk
CLM10186,48,Female,Life,284133.46,12540.48,2,0,331,Natural Disaster,Low Risk
CLM10187,21,Female,Life,130213.61,9836.94,2,0,25,Accident,High Risk
CLM10188,78,Female,Vehicle,5793.53,757.38,1,0,58,Accident,Low Risk
CLM10189,81,Male,Life,411189.49,21361.23,0,0,38,Natural Disaster,Low Risk
CLM10190,18,Female,Health,1344.43,210.46,0,0,19,Medical,Low Risk
CLM10191,31,Female,Vehicle,8886.54,976.12,2,0,44,Natural Disaster,Low Risk
CLM10192,74,Male,Life,191835.28,15379.18,0,0,10,Natural Disaster,Low Risk
CLM10193,43,Female,Life,167071.01,13152.14,0,0,25,Accident,Low Risk
CLM10194,36,Male,Health,47404.76,4774.41,0,0,156,Natural Disaster,Low Risk
CLM10195,78,Female,Life,375266.44,6421.23,1,0,5,Theft,Low Risk
CLM10196,22,Female,Vehicle,25649.29,2085.81,1,0,21,Natural Disaster,Low Risk
CLM10197,27,Male,Life,407295.37,22536.57,3,0,3,Theft,High Risk
CLM10198,32,Female,Life,445023.54,40127.58,0,0,57,Accident,High Risk
CLM10199,59,Female,Property,15020.0,1466.88,0,0,50,Medical,Low Risk
CLM10200,25,Female,Life,406784.49,25567.72,2,0,47,Theft,Low Risk
CLM10201,29,Female,Property,63279.95,3159.6,0,0,27,Medical,Low Risk
CLM10202,25,Male,Life,344431.65,8435.5,1,0,31,Natural Disaster,High Risk
CLM10203,80,Male,Property,16631.22,1480.98,5,0,26,Natural Disaster,Low Risk
CLM10204,85,Male,Life,450616.12,8119.13,0,0,51,Theft,Low Risk
CLM10205,28,Female,Property,66908.45,2762.01,3,0,29,Accident,High Risk
CLM10206,45,Female,Vehicle,3918.49,280.57,0,0,57,Natural Disaster,Low Risk
CLM10207,86,Female,Property,85155.05,2910.45,2,0,34,Medical,High Risk
CLM10208,64,Male,Vehicle,25816.38,1220.83,0,0,3,Natural Disaster,Low Risk
CLM10209,74,Male,Health,33004.98,3565.72,2,0,12,Natural Disaster,Low Risk
CLM10210,23,Male,Property,58241.86,1443.02,1,0,7,Natural Disaster,Low Risk
CLM10211,31,Female,Vehicle,9121.08,1012.71,4,0,19,Theft,Low Risk
CLM10212,80,Male,Property,64682.62,4101.8,1,0,52,Medical,Low Risk
CLM10213,31,Male,Health,15564.65,973.06,0,0,7,Accident,Low Risk
CLM10214,58,Female,Property,64486.74,4163.79,0,0,10,Theft,High Risk
CLM10215,65,Female,Health,30349.95,754.98,4,0,23,Medical,Low Risk
CLM10216,62,Male,Property,12809.67,1463.76,0,0,51,Medical,Low Risk
CLM10217,46,Male,Life,354391.86,7937.99,2,0,43,Theft,High Risk
CLM10218,72,Male,Health,14178.99,1117.72,0,1,170,Natural Disaster,High Risk
CLM10219,57,Female,Property,47509.47,2839.43,1,0,48,Natural Disaster,Low Risk
CLM10220,37,Female,Health,17604.17,1776.46,1,0,40,Accident,Low Risk
CLM10221,38,Male,Property,53204.13,5015.56,2,0,12,Accident,Low Risk
CLM10222,18,Female,Life,378437.14,34201.89,0,0,32,Natural Disaster,High Risk
CLM10223,66,Male,Life,358965.46,7541.93,1,0,18,Medical,Low Risk
CLM10224,32,Male,Property,44204.16,3371.03,3,0,13,Theft,Low Risk
CLM10225,19,Male,Vehicle,25041.51,2912.47,2,0,42,Accident,Low Risk
CLM10226,79,Male,Property,37600.9,3204.51,3,0,17,Accident,Low Risk
CLM10227,47,Female,Life,409271.15,34829.17,4,0,194,Medical,High Risk
CLM10228,50,Female,Property,53609.73,1693.53,0,0,46,Accident,Low Risk
CLM10229,52,Male,Property,11812.63,778.1,2,0,33,Medical,Low Risk
CLM10230,82,Male,Life,125311.88,12407.08,5,1,288,Natural Disaster,High Risk
CLM10231,54,Female,Life,191285.02,17548.48,3,0,12,Theft,High Risk
CLM10232,34,Male,Life,203174.2,12093.41,1,0,21,Natural Disaster,Low Risk
CLM10233,49,Male,Property,21831.24,1586.3,0,0,3,Medical,Low Risk
CLM10234,80,Female,Health,22758.14,1805.81,1,0,59,Theft,High Risk
CLM10235,54,Male,Health,8251.22,1099.98,4,0,33,Accident,High Risk
CLM10236,64,Female,Vehicle,4788.92,538.53,2,0,144,Accident,Low Risk
CLM10237,69,Female,Vehicle,18073.21,1005.55,0,0,14,Medical,Low Risk
CLM10238,68,Male,Vehicle,14223.4,1050.75,1,0,34,Accident,Low Risk
CLM10239,89,Male,Property,88929.15,4781.64,1,0,15,Theft,High Risk
CLM10240,60,Male,Vehicle,16289.56,1448.03,3,0,34,Accident,Low Risk
CLM10241,54,Male,Property,18570.78,1852.53,2,0,35,Natural Disaster,Low Risk
CLM10242,40,Male,Vehicle,3251.83,414.63,0,0,2,Accident,Low Risk
CLM10243,33,Female,Life,100819.24,8845.84,1,0,25,Natural Disaster,Low Risk
CLM10244,48,Female,Vehicle,9149.13,1224.79,1,0,28,Natural Disaster,Low Risk
CLM10245,70,Male,Health,11516.78,950.33,0,0,31,Theft,Low Risk
CLM10246,89,Female,Life,336690.88,19599.56,0,0,14,Natural Disaster,Low Risk
CLM10247,48,Female,Vehicle,4881.02,447.1,2,0,30,Accident,Low Risk
CLM10248,43,Female,Life,317068.59,29064.61,1,0,43,Accident,Low Risk
CLM10249,51,Female,Life,405019.61,36834.04,4,0,36,Natural Disaster,High Risk
CLM10250,46,Male,Life,334720.35,24652.52,0,0,12,Medical,Low Risk
CLM10251,38,Female,Property,65262.28,6665.02,1,0,40,Medical,High Risk
CLM10252,35,Female,Vehicle,23352.64,683.16,0,0,35,Medical,Low Risk
CLM10253,71,Female,Vehicle,7256.48,858.33,0,0,6,Natural Disaster,Low Risk
CLM10254,45,Female,Life,73489.38,5534.22,1,0,42,Accident,High Risk
CLM10255,70,Female,Property,84370.62,1206.92,0,1,35,Natural Disaster,High Risk
CLM10256,42,Male,Property,36373.06,3536.48,2,0,57,Theft,Low Risk
CLM10257,33,Male,Health,26543.51,2747.27,0,0,29,Accident,Low Risk
CLM10258,23,Male,Life,199444.71,8525.44,0,0,83,Accident,High Risk
CLM10259,68,Male,Life,454352.27,36981.99,1,0,3,Accident,Low Risk
CLM10260,46,Female,Vehicle,15038.24,1451.53,0,0,8,Medical,Low Risk
CLM10261,32,Female,Life,399617.6,11758.7,1,0,24,Accident,Low Risk
CLM10262,28,Male,Health,26835.99,2623.14,1,0,46,Medical,Low Risk
CLM10263,48,Male,Vehicle,2803.89,168.35,1,0,53,Theft,Low Risk
CLM10264,44,Female,Property,38655.44,4173.29,1,0,17,Theft,Low Risk
CLM10265,23,Male,Life,144133.46,2527.12,5,0,27,Accident,High Risk
CLM10266,33,Female,Property,52332.42,2919.93,1,0,36,Natural Disaster,Low Risk
CLM10267,43,Female,Life,423226.23,32361.09,2,0,15,Natural Disaster,Low Risk
CLM10268,25,Male,Vehicle,14830.1,1306.0,1,0,58,Theft,Low Risk
CLM10269,26,Male,Vehicle,23748.2,1364.02,3,1,41,Theft,High Risk
CLM10270,72,Female,Life,92929.67,4626.49,1,0,9,Theft,Low Risk
CLM10271,18,Female,Health,38289.39,1920.85,2,0,48,Theft,Low Risk
CLM10272,34,Female,Health,13299.07,1051.57,2,0,57,Medical,Low Risk
CLM10273,58,Male,Health,2764.92,517.96,0,0,4,Medical,Low Risk
CLM10274,68,Male,Property,36002.15,3238.21,1,0,25,Accident,Low Risk
CLM10275,32,Female,Life,142007.4,4901.37,1,1,269,Natural Disaster,High Risk
CLM10276,41,Male,Life,71438.57,5796.56,0,0,33,Natural Disaster,Low Risk
CLM10277,70,Female,Health,1000.57,356.52,0,0,6,Accident,Low Risk
CLM10278,78,Female,Property,88859.77,1480.12,0,0,35,Accident,High Risk
CLM10279,47,Female,Health,35918.45,3172.2,0,0,53,Medical,Low Risk
CLM10280,39,Male,Vehicle,18128.5,1391.15,1,0,58,Theft,Low Risk
CLM10281,27,Female,Health,18723.8,2139.65,0,0,48,Accident,Low Risk
CLM10282,68,Female,Health,46713.32,4325.02,2,0,0,Theft,Low Risk
CLM10283,51,Male,Health,10566.79,668.34,5,0,11,Accident,Low Risk
CLM10284,72,Female,Health,16287.22,1172.81,0,0,155,Theft,Low Risk
CLM10285,21,Female,Property,52603.35,4183.08,1,0,4,Theft,Low Risk
CLM10286,30,Female,Life,371484.84,35749.98,3,0,30,Natural Disaster,High Risk
CLM10287,74,Male,Life,162710.55,11106.43,3,0,17,Medical,Low Risk
CLM10288,29,Female,Health,16032.05,1018.12,0,0,13,Medical,Low Risk
CLM10289,36,Female,Health,4533.44,381.72,5,0,22,Natural Disaster,Low Risk
CLM10290,71,Male,Life,495662.8,19942.6,4,1,28,Theft,High Risk
CLM10291,58,Male,Property,54371.9,1248.24,1,0,1,Theft,Low Risk
CLM10292,55,Female,Vehicle,18505.48,443.5,5,1,43,Natural Disaster,High Risk
CLM10293,51,Female,Property,40459.68,2737.37,2,0,58,Medical,Low Risk
CLM10294,19,Male,Life,476030.18,9459.53,4,0,58,Medical,High Risk
CLM10295,45,Male,Health,19895.06,2192.19,4,0,45,Medical,High Risk
CLM10296,23,Female,Vehicle,3954.9,315.94,0,0,24,Natural Disaster,Low Risk
CLM10297,44,Female,Property,60998.13,4331.92,0,0,39,Accident,High Risk
CLM10298,40,Male,Life,460184.58,6066.19,0,0,123,Theft,High Risk
CLM10299,33,Female,Vehicle,28593.23,2865.74,3,0,12,Natural Disaster,Low Risk
CLM10300,82,Male,Life,494446.82,18324.39,1,0,42,Accident,High Risk
CLM10301,75,Male,Property,72018.78,3768.79,1,0,27,Natural Disaster,Low Risk
CLM10302,39,Female,Property,61890.31,2075.14,1,0,23,Natural Disaster,Low Risk
CLM10303,55,Female,Health,13751.59,499.1,0,0,20,Natural Disaster,Low Risk
CLM10304,64,Female,Property,15491.03,782.02,0,0,22,Accident,Low Risk
CLM10305,42,Male,Property,25525.71,2529.07,1,0,57,Accident,Low Risk
CLM10306,78,Male,Vehicle,17047.76,1119.98,3,0,16,Medical,Low Risk
CLM10307,46,Male,Health,21143.59,1839.13,1,0,217,Medical,Low Risk
CLM10308,35,Female,Vehicle,16699.72,951.55,2,0,57,Medical,Low Risk
CLM10309,45,Male,Vehicle,5841.0,393.58,0,0,23,Accident,Low Risk
CLM10310,26,Male,Health,22018.27,1670.64,2,0,49,Accident,Low Risk
CLM10311,65,Male,Health,35134.74,2392.08,1,0,16,Accident,Low Risk
CLM10312,43,Male,Property,24410.06,1627.41,0,0,24,Natural Disaster,Low Risk
CLM10313,49,Female,Life,446703.55,34247.3,2,0,21,Natural Disaster,Low Risk
CLM10314,68,Female,Health,27047.29,1941.55,1,0,69,Accident,Low Risk
CLM10315,74,Female,Life,431567.55,25999.48,1,0,53,Medical,High Risk
CLM10316,84,Male,Property,38299.45,1794.58,0,0,187,Medical,Low Risk
CLM10317,48,Female,Vehicle,23411.48,1516.24,2,0,36,Theft,Low Risk
CLM10318,56,Female,Vehicle,22996.55,443.14,2,0,27,Medical,Low Risk
CLM10319,33,Male,Property,61729.75,4707.1,1,0,41,Accident,Low Risk
CLM10320,30,Male,Vehicle,12200.15,942.34,1,0,29,Medical,Low Risk
CLM10321,19,Female,Life,249736.63,13112.55,1,0,56,Theft,High Risk
CLM10322,84,Female,Health,16901.08,755.34,2,0,35,Theft,Low Risk
CLM10323,21,Female,Property,98414.04,8361.69,2,0,99,Theft,High Risk
CLM10324,87,Male,Health,44534.74,4101.37,3,0,24,Natural Disaster,High Risk
CLM10325,88,Female,Health,41445.37,3765.5,1,0,47,Medical,Low Risk
CLM10326,60,Male,Property,81128.06,5836.69,1,0,15,Accident,Low Risk
CLM10327,47,Male,Life,344453.9,10743.05,2,0,31,Natural Disaster,High Risk
CLM10328,75,Male,Property,64338.33,5983.62,1,0,18,Theft,Low Risk
CLM10329,65,Male,Property,93177.3,8960.26,1,0,50,Theft,Low Risk
CLM10330,21,Female,Health,23597.18,2533.75,4,0,53,Natural Disaster,High Risk
CLM10331,58,Male,Property,97553.53,1910.25,2,0,0,Medical,Low Risk
CLM10332,39,Female,Vehicle,20365.06,1906.31,0,0,54,Natural Disaster,Low Risk
CLM10333,55,Male,Life,269823.03,12619.16,1,0,139,Medical,Low Risk
